LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,VacationHours,SickLeaveHours
adventure-works\ken0,NULL,Chief Executive Officer,1969-01-29,S,M,99,69
adventure-works\terri0,1,Vice President of Engineering,1971-08-01,S,F,1,20
adventure-works\roberto0,2,Engineering Manager,1974-11-12,M,M,2,21
adventure-works\rob0,3,Senior Tool Designer,1974-12-23,S,M,48,80
adventure-works\rob0,3,Senior Tool Designer,1974-12-23,S,M,48,80
adventure-works\gail0,3,Design Engineer,1952-09-27,M,F,5,22
adventure-works\jossef0,3,Design Engineer,1959-03-11,M,M,6,23
adventure-works\dylan0,3,Research and Development Manager,1987-02-24,M,M,61,50
adventure-works\diane1,4,Research and Development Engineer,1986-06-05,S,F,62,51
adventure-works\gigi0,4,Research and Development Engineer,1979-01-21,M,F,63,51
adventure-works\michael6,4,Research and Development Manager,1984-11-30,M,M,16,64
adventure-works\ovidiu0,3,Senior Tool Designer,1978-01-17,S,M,7,23
adventure-works\thierry0,4,Tool Designer,1959-07-29,M,M,9,24
adventure-works\janice0,4,Tool Designer,1989-05-28,M,F,8,24
adventure-works\michael8,3,Senior Design Engineer,1979-06-16,S,M,3,21
adventure-works\sharon0,3,Design Engineer,1961-05-02,M,F,4,22
adventure-works\david0,1,Marketing Manager,1975-03-19,S,M,40,40
adventure-works\david0,1,Marketing Manager,1975-03-19,S,M,40,40
adventure-works\kevin0,2,Marketing Assistant,1987-05-03,S,M,42,41
adventure-works\john5,2,Marketing Specialist,1978-03-06,S,M,48,44
adventure-works\mary2,2,Marketing Assistant,1978-01-29,S,F,43,41
adventure-works\wanida0,2,Marketing Assistant,1975-03-17,M,F,41,40
adventure-works\terry0,2,Marketing Specialist,1986-02-04,M,M,44,42
adventure-works\sariya0,2,Marketing Specialist,1987-05-21,S,M,45,42
adventure-works\mary0,2,Marketing Specialist,1962-09-13,M,F,46,43
adventure-works\jill0,2,Marketing Specialist,1979-06-18,M,F,47,43
adventure-works\james1,1,Vice President of Production,1983-01-07,S,M,64,52
adventure-works\peter0,2,Production Control Manager,1982-11-03,M,M,43,41
adventure-works\jo0,3,Production Supervisor - WC60,1956-10-08,S,F,80,60
adventure-works\guy1,4,Production Technician - WC60,1988-03-13,M,M,21,30
adventure-works\mark1,4,Production Technician - WC60,1979-09-25,S,M,19,29
adventure-works\britta0,4,Production Technician - WC60,1989-09-28,M,F,14,27
adventure-works\margie0,4,Production Technician - WC60,1986-05-20,M,F,18,29
adventure-works\rebecca0,4,Production Technician - WC60,1977-07-10,M,F,23,31
adventure-works\annik0,4,Production Technician - WC60,1976-12-26,M,M,17,28
adventure-works\suchitra0,4,Production Technician - WC60,1987-06-10,M,F,15,27
adventure-works\brandon0,4,Production Technician - WC60,1977-01-10,M,M,22,31
adventure-works\jose0,4,Production Technician - WC60,1984-07-31,M,M,20,30
adventure-works\chris2,4,Production Technician - WC60,1986-08-07,S,M,16,28
adventure-works\kim1,4,Production Technician - WC60,1966-12-14,M,F,24,32
adventure-works\ed0,4,Production Technician - WC60,1971-09-11,S,M,25,32
adventure-works\jolynn0,3,Production Supervisor - WC60,1956-01-16,S,F,82,61
adventure-works\bryan0,4,Production Technician - WC60,1973-08-27,S,M,35,37
adventure-works\james0,4,Production Technician - WC60,1984-07-25,M,M,39,39
adventure-works\nancy0,4,Production Technician - WC60,1988-11-19,M,F,34,37
adventure-works\simon0,4,Production Technician - WC60,1990-05-17,S,M,38,39
adventure-works\thomas0,4,Production Technician - WC60,1986-01-10,M,M,37,38
adventure-works\eugene1,4,Production Technician - WC60,1976-02-10,S,M,36,38
adventure-works\andrew0,3,Production Supervisor - WC10,1988-09-06,S,M,65,52
adventure-works\ruth0,4,Production Technician - WC10,1956-06-04,M,F,83,61
adventure-works\barry0,4,Production Technician - WC10,1956-03-26,S,M,88,64
adventure-works\sidney0,4,Production Technician - WC10,1956-08-30,M,M,84,62
adventure-works\jeffrey0,4,Production Technician - WC10,1956-07-11,S,M,85,62
adventure-works\doris0,4,Production Technician - WC10,1956-04-04,M,F,86,63
adventure-works\diane0,4,Production Technician - WC10,1956-03-29,M,F,87,63
adventure-works\bonnie0,4,Production Technician - WC10,1986-09-10,M,F,89,64
adventure-works\taylor0,3,Production Supervisor - WC50,1956-04-01,M,M,79,59
adventure-works\denise0,4,Production Technician - WC50,1988-07-06,M,F,9,24
adventure-works\frank1,4,Production Technician - WC50,1971-07-24,S,M,10,25
adventure-works\kendall0,4,Production Technician - WC50,1986-05-30,M,M,11,25
adventure-works\bob0,4,Production Technician - WC50,1979-08-16,S,M,12,26
adventure-works\pete0,4,Production Technician - WC50,1977-02-03,S,M,13,26
adventure-works\diane2,4,Production Technician - WC50,1989-08-09,S,F,8,24
adventure-works\john0,3,Production Supervisor - WC60,1956-08-07,M,M,81,60
adventure-works\maciej0,4,Production Technician - WC60,1955-01-30,S,M,30,35
adventure-works\michael7,4,Production Technician - WC60,1973-09-05,S,M,26,33
adventure-works\randy0,4,Production Technician - WC60,1970-04-28,M,M,29,34
adventure-works\karan0,4,Production Technician - WC60,1970-03-07,S,M,28,34
adventure-works\jay0,4,Production Technician - WC60,1976-02-11,S,M,32,36
adventure-works\charles0,4,Production Technician - WC60,1971-09-02,S,M,27,33
adventure-works\steve0,4,Production Technician - WC60,1991-04-06,S,M,31,35
